OFS,Communes,Districts
5830,Villarzel,Broye-Vully
5414,Villeneuve,Aigle
5863,Vinzel,Nyon
5539,Vuarrens,Gros-de-Vaud
5692,Vucherens,Broye-Vully
5503,Vufflens-la-Ville,Gros-de-Vaud
5653,Vufflens-le-Château,Morges
5937,Vugelles-La Mothe,Jura-Nord vaudois
5766,Vuiteboeuf,Jura-Nord vaudois
5803,Vulliens,Broye-Vully
5654,Vullierens,Morges
5464,Vully-les-lacs,Broye-Vully
5655,Yens,Morges
5938,Yverdon-les-Bains,Jura-Nord vaudois
5939,Yvonand,Jura-Nord vaudois
5415,Yvorne,Aigle
